Impuesto específico,Año,Valor,Impuesto,Agregación,Impuesto_alt,Índice,Valor (Constantes - 18)
Impuesto gasolina y ACPM,2009,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,71.2,0.0
Impuesto al carbono,2009,0.0,Impuesto al carbono,Actividad interna,Otros,71.2,0.0
Declaraciones CREE,2009,0.0,CREE,Actividad interna,Otros,71.2,0.0
Retención CREE,2009,0.0,CREE,Actividad interna,Otros,71.2,0.0
Impuesto unificado RST (Simple),2009,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,71.2,0.0
Impuesto de normalización tributaria,2009,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,71.2,0.0
Consumo bienes inmuebles,2009,0.0,Consumo bienes inmuebles,Actividad interna,Otros,71.2,0.0
Productos plásticos de un solo uso,2009,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,71.2,0.0
Impuestos saludables - Bebidas azucaradas,2009,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,71.2,0.0
Impuestos saludables - Comestibles ultraprocesados,2009,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,71.2,0.0
IVA_ext,2009,8594142.49879377,IVA,Actividad externa,IVA,71.2,12070424.857856417
Arancel,2009,4133529.31019023,Arancel,Actividad externa,Otros,71.2,5805518.694087401
Por clasificar,2009,28234.004538,Por clasificar,Por clasificar,Otros,71.2,39654.50075561798
Renta cuotas,2010,9419570.722049,Renta,Actividad interna,Renta,73.45,12824466.605921034
Retención en la fuente a título de renta,2010,18695874.9327731,Renta,Actividad interna,Renta,73.45,25453880.099078417
Declaraciones IVA,2010,16577992.289996002,IVA,Actividad interna,IVA,73.45,22570445.59563785
Retención en la fuente a título de IVA,2010,5086567.494838743,IVA,Actividad interna,IVA,73.45,6925211.0208832435
Timbre nacional,2010,357159.2352241581,Timbre nacional,Actividad interna,Otros,73.45,486261.72256522544
G.M.F.,2010,3224922.2,G.M.F.,Actividad interna,Otros,73.45,4390636.078965282
Patrimonio,2010,2235366.711596,Patrimonio,Actividad interna,Otros,73.45,3043385.5842014975
Riqueza,2010,0.0,Riqueza,Actividad interna,Otros,73.45,0.0
Impuesto al consumo,2010,0.0,Impuesto al consumo,Actividad interna,Otros,73.45,0.0
Impuesto gasolina y ACPM,2010,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,73.45,0.0
Impuesto al carbono,2010,0.0,Impuesto al carbono,Actividad interna,Otros,73.45,0.0
Declaraciones CREE,2010,0.0,CREE,Actividad interna,Otros,73.45,0.0
Retención CREE,2010,0.0,CREE,Actividad interna,Otros,73.45,0.0
Impuesto unificado RST (Simple),2010,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,73.45,0.0
Impuesto de normalización tributaria,2010,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,73.45,0.0
Consumo bienes inmuebles,2010,0.0,Consumo bienes inmuebles,Actividad interna,Otros,73.45,0.0
Productos plásticos de un solo uso,2010,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,73.45,0.0
Impuestos saludables - Bebidas azucaradas,2010,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,73.45,0.0
Impuestos saludables - Comestibles ultraprocesados,2010,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,73.45,0.0
IVA_ext,2010,9697389.30028495,IVA,Actividad externa,IVA,73.45,13202708.373430837
Arancel,2010,4865483.90916005,Arancel,Actividad externa,Otros,73.45,6624212.265704628
Por clasificar,2010,29865.979655,Por clasificar,Por clasificar,Otros,73.45,40661.646909462215
Renta cuotas,2011,12532261.154461002,Renta,Actividad interna,Renta,76.19,16448695.569577374
Retención en la fuente a título de renta,2011,22287811.13514271,Renta,Actividad interna,Renta,76.19,29252934.945718218
Declaraciones IVA,2011,19107011.516619,IVA,Actividad interna,IVA,76.19,25078109.3537459
Retención en la fuente a título de IVA,2011,5999955.795940287,IVA,Actividad interna,IVA,76.19,7874991.200866632
Timbre nacional,2011,123922.92537700184,Timbre nacional,Actividad interna,Otros,76.19,162649.85611891566
G.M.F.,2011,5069606.2,G.M.F.,Actividad interna,Otros,76.19,6653899.724373277
Patrimonio,2011,4447797.548349,Patrimonio,Actividad interna,Otros,76.19,5837770.768275363
Riqueza,2011,0.0,Riqueza,Actividad interna,Otros,76.19,0.0
Impuesto al consumo,2011,0.0,Impuesto al consumo,Actividad interna,Otros,76.19,0.0
Impuesto gasolina y ACPM,2011,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,76.19,0.0
Impuesto al carbono,2011,0.0,Impuesto al carbono,Actividad interna,Otros,76.19,0.0
Declaraciones CREE,2011,0.0,CREE,Actividad interna,Otros,76.19,0.0
Retención CREE,2011,0.0,CREE,Actividad interna,Otros,76.19,0.0
Impuesto unificado RST (Simple),2011,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,76.19,0.0
Impuesto de normalización tributaria,2011,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,76.19,0.0
Consumo bienes inmuebles,2011,0.0,Consumo bienes inmuebles,Actividad interna,Otros,76.19,0.0
Productos plásticos de un solo uso,2011,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,76.19,0.0
Impuestos saludables - Bebidas azucaradas,2011,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,76.19,0.0
Impuestos saludables - Comestibles ultraprocesados,2011,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,76.19,0.0
IVA_ext,2011,12552138.262271248,IVA,Actividad externa,IVA,76.19,16474784.436633741
Arancel,2011,4387426.906860754,Arancel,Actividad externa,Otros,76.19,5758533.806091027
Por clasificar,2011,60708.796542,Por clasificar,Por clasificar,Otros,76.19,79680.79346633416
Renta cuotas,2012,21996893.44207,Renta,Actividad interna,Renta,78.05,28183079.362037156
Retención en la fuente a título de renta,2012,23732148.45532136,Renta,Actividad interna,Renta,78.05,30406340.109316286
Declaraciones IVA,2012,19871593.731018,IVA,Actividad interna,IVA,78.05,25460081.654090967
Retención en la fuente a título de IVA,2012,6673131.507411854,IVA,Actividad interna,IVA,78.05,8549816.152994048
Timbre nacional,2012,58972.81447078411,Timbre nacional,Actividad interna,Otros,78.05,75557.73795103666
G.M.F.,2012,5468351.3,G.M.F.,Actividad interna,Otros,78.05,7006215.631005766
Patrimonio,2012,4391723.243354999,Patrimonio,Actividad interna,Otros,78.05,5626807.486681614
Riqueza,2012,0.0,Riqueza,Actividad interna,Otros,78.05,0.0
Impuesto al consumo,2012,0.0,Impuesto al consumo,Actividad interna,Otros,78.05,0.0
Impuesto gasolina y ACPM,2012,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,78.05,0.0
Impuesto al carbono,2012,0.0,Impuesto al carbono,Actividad interna,Otros,78.05,0.0
Declaraciones CREE,2012,0.0,CREE,Actividad interna,Otros,78.05,0.0
Retención CREE,2012,0.0,CREE,Actividad interna,Otros,78.05,0.0
Impuesto unificado RST (Simple),2012,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,78.05,0.0
Impuesto de normalización tributaria,2012,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,78.05,0.0
Consumo bienes inmuebles,2012,0.0,Consumo bienes inmuebles,Actividad interna,Otros,78.05,0.0
Productos plásticos de un solo uso,2012,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,78.05,0.0
Impuestos saludables - Bebidas azucaradas,2012,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,78.05,0.0
Impuestos saludables - Comestibles ultraprocesados,2012,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,78.05,0.0
IVA_ext,2012,13034472.09029568,IVA,Actividad externa,IVA,78.05,16700156.425747188
Arancel,2012,3957534.4776103194,Arancel,Actividad externa,Otros,78.05,5070511.822690993
Por clasificar,2012,41637.004092,Por clasificar,Por clasificar,Otros,78.05,53346.577952594496
Renta cuotas,2013,20981534.842428,Renta,Actividad interna,Renta,79.56,26371964.356998492
Retención en la fuente a título de renta,2013,25377769.27823332,Renta,Actividad interna,Renta,79.56,31897648.665451635
Declaraciones IVA,2013,21170578.553975,IVA,Actividad interna,IVA,79.56,26609575.859697085
Retención en la fuente a título de IVA,2013,4095829.7572585,IVA,Actividad interna,IVA,79.56,5148101.756232403
Timbre nacional,2013,59710.57598918348,Timbre nacional,Actividad interna,Otros,79.56,75051.00048916979
G.M.F.,2013,5897755.2,G.M.F.,Actividad interna,Otros,79.56,7412965.3092006035
Patrimonio,2013,4456463.147381,Patrimonio,Actividad interna,Otros,79.56,5601386.560307944
Riqueza,2013,0.0,Riqueza,Actividad interna,Otros,79.56,0.0
Impuesto al consumo,2013,1257208.6,Impuesto al consumo,Actividad interna,Otros,79.56,1580201.8602312722
Impuesto gasolina y ACPM,2013,2736573.875,Impuesto gasolina y ACPM,Actividad interna,Otros,79.56,3439635.338109603
Impuesto al carbono,2013,0.0,Impuesto al carbono,Actividad interna,Otros,79.56,0.0
Declaraciones CREE,2013,0.0,CREE,Actividad interna,Otros,79.56,0.0
Retención CREE,2013,2959827.5000000005,CREE,Actividad interna,Otros,79.56,3720245.7264957274
Impuesto unificado RST (Simple),2013,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,79.56,0.0
Impuesto de normalización tributaria,2013,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,79.56,0.0
Consumo bienes inmuebles,2013,0.0,Consumo bienes inmuebles,Actividad interna,Otros,79.56,0.0
Productos plásticos de un solo uso,2013,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,79.56,0.0
Impuestos saludables - Bebidas azucaradas,2013,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,79.56,0.0
Impuestos saludables - Comestibles ultraprocesados,2013,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,79.56,0.0
IVA_ext,2013,12069785.68766788,IVA,Actividad externa,IVA,79.56,15170670.798979236
Arancel,2013,4236603.382867119,Arancel,Actividad externa,Otros,79.56,5325041.959360382
Por clasificar,2013,143165.57116,Por clasificar,Por clasificar,Otros,79.56,179946.6706385118
Renta cuotas,2014,11981405.0,Renta,Actividad interna,Renta,82.47,14528198.132654298
Retención en la fuente a título de renta,2014,27458420.0,Renta,Actividad interna,Renta,82.47,33295040.620831817
Declaraciones IVA,2014,24334361.0,IVA,Actividad interna,IVA,82.47,29506924.942403298
Retención en la fuente a título de IVA,2014,3979293.0,IVA,Actividad interna,IVA,82.47,4825140.05092761
Timbre nacional,2014,72429.0,Timbre nacional,Actividad interna,Otros,82.47,87824.6635140051
G.M.F.,2014,6452653.0,G.M.F.,Actividad interna,Otros,82.47,7824242.754941191
Patrimonio,2014,4361210.9135730015,Patrimonio,Actividad interna,Otros,82.47,5288239.254969082
Riqueza,2014,0.0,Riqueza,Actividad interna,Otros,82.47,0.0
Impuesto al consumo,2014,1744718.0,Impuesto al consumo,Actividad interna,Otros,82.47,2115578.998423669
Impuesto gasolina y ACPM,2014,2980883.0,Impuesto gasolina y ACPM,Actividad interna,Otros,82.47,3614505.8809263976
Impuesto al carbono,2014,0.0,Impuesto al carbono,Actividad interna,Otros,82.47,0.0
Declaraciones CREE,2014,5994514.0,CREE,Actividad interna,Otros,82.47,7268720.746938281
Retención CREE,2014,6923979.0,CREE,Actividad interna,Otros,82.47,8395754.81993452
Impuesto unificado RST (Simple),2014,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,82.47,0.0
Impuesto de normalización tributaria,2014,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,82.47,0.0
Consumo bienes inmuebles,2014,0.0,Consumo bienes inmuebles,Actividad interna,Otros,82.47,0.0
Productos plásticos de un solo uso,2014,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,82.47,0.0
Impuestos saludables - Bebidas azucaradas,2014,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,82.47,0.0
Impuestos saludables - Comestibles ultraprocesados,2014,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,82.47,0.0
IVA_ext,2014,13598367.0,IVA,Actividad externa,IVA,82.47,16488865.041833393
Arancel,2014,4396474.0,Arancel,Actividad externa,Otros,82.47,5330997.938644355
Por clasificar,2014,35880.0,Por clasificar,Por clasificar,Otros,82.47,43506.72971989815
Renta cuotas,2015,10691838.0,Renta,Actividad interna,Renta,88.05,12142916.524701875
Retención en la fuente a título de renta,2015,30690570.0,Renta,Actividad interna,Renta,88.05,34855843.27086882
Declaraciones IVA,2015,24900686.0,IVA,Actividad interna,IVA,88.05,28280165.814877912
Retención en la fuente a título de IVA,2015,4697986.0,IVA,Actividad interna,IVA,88.05,5335588.86996025
Timbre nacional,2015,105729.0,Timbre nacional,Actividad interna,Otros,88.05,120078.36456558775
G.M.F.,2015,6741442.0,G.M.F.,Actividad interna,Otros,88.05,7656379.329926179
Patrimonio,2015,0.0,Patrimonio,Actividad interna,Otros,88.05,0.0
Riqueza,2015,5544789.002022999,Riqueza,Actividad interna,Otros,88.05,6297318.571292447
Impuesto al consumo,2015,1824553.0,Impuesto al consumo,Actividad interna,Otros,88.05,2072178.3077796707
Impuesto gasolina y ACPM,2015,3418956.0,Impuesto gasolina y ACPM,Actividad interna,Otros,88.05,3882971.039182283
Impuesto al carbono,2015,0.0,Impuesto al carbono,Actividad interna,Otros,88.05,0.0
Declaraciones CREE,2015,7062275.0,CREE,Actividad interna,Otros,88.05,8020755.252697332
Retención CREE,2015,7476657.0,CREE,Actividad interna,Otros,88.05,8491376.490630325
Impuesto unificado RST (Simple),2015,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,88.05,0.0
Impuesto de normalización tributaria,2015,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,88.05,0.0
Consumo bienes inmuebles,2015,0.0,Consumo bienes inmuebles,Actividad interna,Otros,88.05,0.0
Productos plásticos de un solo uso,2015,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,88.05,0.0
Impuestos saludables - Bebidas azucaradas,2015,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,88.05,0.0
Impuestos saludables - Comestibles ultraprocesados,2015,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,88.05,0.0
IVA_ext,2015,15433526.0,IVA,Actividad externa,IVA,88.05,17528138.557637706
Arancel,2015,5070077.0,Arancel,Actividad externa,Otros,88.05,5758179.443498013
Por clasificar,2015,46239.0,Por clasificar,Por clasificar,Otros,88.05,52514.4804088586
Renta cuotas,2016,10873931.844,Renta,Actividad interna,Renta,93.11,11678586.45043497
Retención en la fuente a título de renta,2016,32620193.145316664,Renta,Actividad interna,Renta,93.11,35034038.39041635
Declaraciones IVA,2016,25722894.669000003,IVA,Actividad interna,IVA,93.11,27626350.197615728
Retención en la fuente a título de IVA,2016,4963694.739293332,IVA,Actividad interna,IVA,93.11,5331000.686600077
Timbre nacional,2016,106191.4963900079,Timbre nacional,Actividad interna,Otros,93.11,114049.50745355805
G.M.F.,2016,7080818.0,G.M.F.,Actividad interna,Otros,93.11,7604787.88529696
Patrimonio,2016,0.0,Patrimonio,Actividad interna,Otros,93.11,0.0
Riqueza,2016,5065901.994999999,Riqueza,Actividad interna,Otros,93.11,5440771.125550423
Impuesto al consumo,2016,1844428.0,Impuesto al consumo,Actividad interna,Otros,93.11,1980912.8987219417
Impuesto gasolina y ACPM,2016,3747952.0,Impuesto gasolina y ACPM,Actividad interna,Otros,93.11,4025294.812587262
Impuesto al carbono,2016,0.0,Impuesto al carbono,Actividad interna,Otros,93.11,0.0
Declaraciones CREE,2016,7543067.0,CREE,Actividad interna,Otros,93.11,8101242.616260337
Retención CREE,2016,7573656.0,CREE,Actividad interna,Otros,93.11,8134095.156266781
Impuesto unificado RST (Simple),2016,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,93.11,0.0
Impuesto de normalización tributaria,2016,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,93.11,0.0
Consumo bienes inmuebles,2016,0.0,Consumo bienes inmuebles,Actividad interna,Otros,93.11,0.0
Productos plásticos de un solo uso,2016,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,93.11,0.0
Impuestos saludables - Bebidas azucaradas,2016,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,93.11,0.0
Impuestos saludables - Comestibles ultraprocesados,2016,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,93.11,0.0
IVA_ext,2016,14986507.0,IVA,Actividad externa,IVA,93.11,16095485.984319622
Arancel,2016,4582128.0,Arancel,Actividad externa,Otros,93.11,4921198.582321985
Por clasificar,2016,22460.0,Por clasificar,Por clasificar,Otros,93.11,24122.006229191276
Renta cuotas,2017,15071134.734999998,Renta,Actividad interna,Renta,96.92,15550077.109987615
Retención en la fuente a título de renta,2017,41583513.3001198,Renta,Actividad interna,Renta,96.92,42904986.89653302
Declaraciones IVA,2017,31900149.541,IVA,Actividad interna,IVA,96.92,32913897.58666942
Retención en la fuente a título de IVA,2017,5616414.486893716,IVA,Actividad interna,IVA,96.92,5794897.324487945
Timbre nacional,2017,79662.01998648867,Timbre nacional,Actividad interna,Otros,96.92,82193.58232200646
G.M.F.,2017,7300662.0,G.M.F.,Actividad interna,Otros,96.92,7532668.1799422195
Patrimonio,2017,0.0,Patrimonio,Actividad interna,Otros,96.92,0.0
Riqueza,2017,3975484.45,Riqueza,Actividad interna,Otros,96.92,4101820.522080066
Impuesto al consumo,2017,2107892.0,Impuesto al consumo,Actividad interna,Otros,96.92,2174878.250103178
Impuesto gasolina y ACPM,2017,1619472.0,Impuesto gasolina y ACPM,Actividad interna,Otros,96.92,1670936.8551382583
Impuesto al carbono,2017,476862.0,Impuesto al carbono,Actividad interna,Otros,96.92,492016.0957490714
Declaraciones CREE,2017,4058412.0,CREE,Actividad interna,Otros,96.92,4187383.4089971106
Retención CREE,2017,1103940.0,CREE,Actividad interna,Otros,96.92,1139021.8737102766
Impuesto unificado RST (Simple),2017,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,96.92,0.0
Impuesto de normalización tributaria,2017,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,96.92,0.0
Consumo bienes inmuebles,2017,0.0,Consumo bienes inmuebles,Actividad interna,Otros,96.92,0.0
Productos plásticos de un solo uso,2017,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,96.92,0.0
Impuestos saludables - Bebidas azucaradas,2017,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,96.92,0.0
Impuestos saludables - Comestibles ultraprocesados,2017,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,96.92,0.0
IVA_ext,2017,17151532.47671371,IVA,Actividad externa,IVA,96.92,17696587.367636926
Arancel,2017,4262909.103286292,Arancel,Actividad externa,Otros,96.92,4398379.182094812
Por clasificar,2017,122221.797,Por clasificar,Por clasificar,Otros,96.92,126105.85740817168
Renta cuotas,2018,17793463.790163,Renta,Actividad interna,Renta,100.0,17793463.790163
Retención en la fuente a título de renta,2018,50267444.253799,Renta,Actividad interna,Renta,100.0,50267444.253799
Declaraciones IVA,2018,34478565.324537,IVA,Actividad interna,IVA,100.0,34478565.324537
Retención en la fuente a título de IVA,2018,6377512.382985,IVA,Actividad interna,IVA,100.0,6377512.382985
Timbre nacional,2018,79869.919,Timbre nacional,Actividad interna,Otros,100.0,79869.919
G.M.F.,2018,7703514.766,G.M.F.,Actividad interna,Otros,100.0,7703514.766
Patrimonio,2018,0.0,Patrimonio,Actividad interna,Otros,100.0,0.0
Riqueza,2018,469733.314136,Riqueza,Actividad interna,Otros,100.0,469733.314136
Impuesto al consumo,2018,2214402.249344,Impuesto al consumo,Actividad interna,Otros,100.0,2214402.249344
Impuesto gasolina y ACPM,2018,1517545.879,Impuesto gasolina y ACPM,Actividad interna,Otros,100.0,1517545.879
Impuesto al carbono,2018,294072.767,Impuesto al carbono,Actividad interna,Otros,100.0,294072.767
Declaraciones CREE,2018,139453.317449,CREE,Actividad interna,Otros,100.0,139453.317449
Retención CREE,2018,16481.366067,CREE,Actividad interna,Otros,100.0,16481.366067
Impuesto unificado RST (Simple),2018,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,100.0,0.0
Impuesto de normalización tributaria,2018,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,100.0,0.0
Consumo bienes inmuebles,2018,0.0,Consumo bienes inmuebles,Actividad interna,Otros,100.0,0.0
Productos plásticos de un solo uso,2018,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,100.0,0.0
Impuestos saludables - Bebidas azucaradas,2018,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,100.0,0.0
Impuestos saludables - Comestibles ultraprocesados,2018,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,100.0,0.0
IVA_ext,2018,19061512.0,IVA,Actividad externa,IVA,100.0,19061512.0
Arancel,2018,4010377.0,Arancel,Actividad externa,Otros,100.0,4010377.0
Por clasificar,2018,7.395,Por clasificar,Por clasificar,Otros,100.0,7.395
Renta cuotas,2019,18229131.797401004,Renta,Actividad interna,Renta,103.8,17561784.005203277
Retención en la fuente a título de renta,2019,52836627.46862194,Renta,Actividad interna,Renta,103.8,50902338.60175524
Declaraciones IVA,2019,36959189.91625101,IVA,Actividad interna,IVA,103.8,35606155.98868113
Retención en la fuente a título de IVA,2019,7280301.048524396,IVA,Actividad interna,IVA,103.8,7013777.503395371
Timbre nacional,2019,85770.40315066872,Timbre nacional,Actividad interna,Otros,103.8,82630.44619524924
G.M.F.,2019,8670910.198,G.M.F.,Actividad interna,Otros,103.8,8353478.0327552995
Patrimonio,2019,852628.287479,Patrimonio,Actividad interna,Otros,103.8,821414.5351435452
Riqueza,2019,72550.79878699999,Riqueza,Actividad interna,Otros,103.8,69894.79651926781
Impuesto al consumo,2019,2412341.231191,Impuesto al consumo,Actividad interna,Otros,103.8,2324028.1610703273
Impuesto gasolina y ACPM,2019,1623253.5402789998,Impuesto gasolina y ACPM,Actividad interna,Otros,103.8,1563828.0734865123
Impuesto al carbono,2019,451045.901,Impuesto al carbono,Actividad interna,Otros,103.8,434533.6233140655
Declaraciones CREE,2019,102339.520624,CREE,Actividad interna,Otros,103.8,98592.98711368015
Retención CREE,2019,9564.066986999998,CREE,Actividad interna,Otros,103.8,9213.937367052022
Impuesto unificado RST (Simple),2019,73644.806,Impuesto unificado RST (Simple),Actividad interna,Otros,103.8,70948.75337186897
Impuesto de normalización tributaria,2019,1138323.565,Impuesto de normalización tributaria,Actividad interna,Otros,103.8,1096650.8333333333
Consumo bienes inmuebles,2019,137322.24015,Consumo bienes inmuebles,Actividad interna,Otros,103.8,132295.02904624277
Productos plásticos de un solo uso,2019,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,103.8,0.0
Impuestos saludables - Bebidas azucaradas,2019,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,103.8,0.0
Impuestos saludables - Comestibles ultraprocesados,2019,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,103.8,0.0
IVA_ext,2019,22016181.553502228,IVA,Actividad externa,IVA,103.8,21210194.17485764
Arancel,2019,4274613.267432773,Arancel,Actividad externa,Otros,103.8,4118124.53509901
Por clasificar,2019,141121.655783,Por clasificar,Por clasificar,Otros,103.8,135955.35239210018
Renta cuotas,2020,18631181.59778,Renta,Actividad interna,Renta,105.48,17663236.251213502
Retención en la fuente a título de renta,2020,51110098.45035699,Renta,Actividad interna,Renta,105.48,48454776.68786214
Declaraciones IVA,2020,32591368.6057259,IVA,Actividad interna,IVA,105.48,30898149.986467484
Retención en la fuente a título de IVA,2020,6907280.723666001,IVA,Actividad interna,IVA,105.48,6548426.928010998
Timbre nacional,2020,41460.684629,Timbre nacional,Actividad interna,Otros,105.48,39306.67863955253
G.M.F.,2020,8108996.041,G.M.F.,Actividad interna,Otros,105.48,7687709.557262041
Patrimonio,2020,934832.125906,Patrimonio,Actividad interna,Otros,105.48,886264.8140936671
Riqueza,2020,27415.064889,Riqueza,Actividad interna,Otros,105.48,25990.77065699659
Impuesto al consumo,2020,1469004.865951,Impuesto al consumo,Actividad interna,Otros,105.48,1392685.6901317786
Impuesto gasolina y ACPM,2020,1322732.139769,Impuesto gasolina y ACPM,Actividad interna,Otros,105.48,1254012.2675094805
Impuesto al carbono,2020,294901.764142,Impuesto al carbono,Actividad interna,Otros,105.48,279580.73961130076
Declaraciones CREE,2020,46482.881676,CREE,Actividad interna,Otros,105.48,44067.957599544934
Retención CREE,2020,8812.191491000001,CREE,Actividad interna,Otros,105.48,8354.371910314754
Impuesto unificado RST (Simple),2020,320785.59,Impuesto unificado RST (Simple),Actividad interna,Otros,105.48,304119.82366325374
Impuesto de normalización tributaria,2020,627860.949,Impuesto de normalización tributaria,Actividad interna,Otros,105.48,595241.7036405007
Consumo bienes inmuebles,2020,5036.419000000001,Consumo bienes inmuebles,Actividad interna,Otros,105.48,4774.762040197194
Productos plásticos de un solo uso,2020,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,105.48,0.0
Impuestos saludables - Bebidas azucaradas,2020,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,105.48,0.0
Impuestos saludables - Comestibles ultraprocesados,2020,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,105.48,0.0
IVA_ext,2020,20349535.208634,IVA,Actividad externa,IVA,105.48,19292316.276672356
Arancel,2020,3417683.2514120005,Arancel,Actividad externa,Otros,105.48,3240124.432510429
Por clasificar,2020,0.0,Por clasificar,Por clasificar,Otros,105.48,0.0
Renta cuotas,2021,16832856.063893,Renta,Actividad interna,Renta,111.41,15108927.442682886
Retención en la fuente a título de renta,2021,60748437.19109233,Renta,Actividad interna,Renta,111.41,54526916.067760825
Declaraciones IVA,2021,38422260.848199,IVA,Actividad interna,IVA,111.41,34487264.023156814
Retención en la fuente a título de IVA,2021,8183508.030055971,IVA,Actividad interna,IVA,111.41,7345398.1061448455
Timbre nacional,2021,84432.30433070227,Timbre nacional,Actividad interna,Otros,111.41,75785.21167821765
G.M.F.,2021,9856524.38,G.M.F.,Actividad interna,Otros,111.41,8847073.314783234
Patrimonio,2021,1002537.67339,Patrimonio,Actividad interna,Otros,111.41,899863.2738443587
Riqueza,2021,33004.24574,Riqueza,Actividad interna,Otros,111.41,29624.13225024684
Impuesto al consumo,2021,1530683.843726,Impuesto al consumo,Actividad interna,Otros,111.41,1373919.61558747
Impuesto gasolina y ACPM,2021,1799854.952618,Impuesto gasolina y ACPM,Actividad interna,Otros,111.41,1615523.6986069477
Impuesto al carbono,2021,334309.261,Impuesto al carbono,Actividad interna,Otros,111.41,300071.1435239207
Declaraciones CREE,2021,32767.304376000004,CREE,Actividad interna,Otros,111.41,29411.457118750568
Retención CREE,2021,5988.447948,CREE,Actividad interna,Otros,111.41,5375.144015797506
Impuesto unificado RST (Simple),2021,599102.087,Impuesto unificado RST (Simple),Actividad interna,Otros,111.41,537745.343326452
Impuesto de normalización tributaria,2021,145302.938189,Impuesto de normalización tributaria,Actividad interna,Otros,111.41,130421.80970200164
Consumo bienes inmuebles,2021,4230.629796,Consumo bienes inmuebles,Actividad interna,Otros,111.41,3797.3519396822553
Productos plásticos de un solo uso,2021,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,111.41,0.0
Impuestos saludables - Bebidas azucaradas,2021,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,111.41,0.0
Impuestos saludables - Comestibles ultraprocesados,2021,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,111.41,0.0
IVA_ext,2021,29044524.0506509,IVA,Actividad externa,IVA,111.41,26069943.49757733
